StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,SPEECH575312,SPEECH280124,SPEECH214280,SPEECH741821,SPEECH236428,SPEECH54969,SPEECH705118,SPEECH3020,SPEECH843081,SPEECH65,SPEECH285429,SPEECH637914,SPEECH54380,SPEECH748387,SPEECH629010,SPEECH951177,SPEECH889153,SPEECH545870,SPEECH376726,SPEECH334355,SPEECH925348,SPEECH575239,SPEECH151940,SPEECH953042,SPEECH953180,SPEECH956620,SPEECH520908,SPEECH935654,SPEECH399903,SPEECH920934,SPEECH119657,SPEECH519901,SPEECH314166,SPEECH554067,SPEECH335927,SPEECH143424,SPEECH588976,SPEECH575334,SPEECH802843,SPEECH482310,SPEECH656184,SPEECH467389,SPEECH55249,SPEECH53975,SPEECH74028,SPEECH956121,SPEECH867245,SPEECH579273,SPEECH896474,SPEECH863651,SPEECH337876,SPEECH839743,SPEECH96465,SPEECH377452,SPEECH693167,SPEECH803457,SPEECH520104,SPEECH421812,SPEECH168387,SPEECH146072,SPEECH637062,SPEECH237826,SPEECH536965,SPEECH21,SPEECH241295,SPEECH535230,SPEECH813311,SPEECH384093,SPEECH575364,SPEECH54012,SPEECH519845,SPEECH953555,SPEECH435009,SPEECH236270,SPEECH601048,SPEECH105498,SPEECH574908,SPEECH626939,SPEECH803517,SPEECH219195,SPEECH320850,SPEECH235117,SPEECH97350,SPEECH931744,SPEECH236228,SPEECH953449,SPEECH747246,SPEECH637210,SPEECH575911,SPEECH314128,SPEECH400557,SPEECH519877,SPEECH375494,SPEECH344151,SPEECH236401,SPEECH280083,SPEECH766152,SPEECH637874,SPEECH157881,SPEECH376739,SPEECH54719,SPEECH534824,SPEECH207449,SPEECH115373,SPEECH590370,SPEECH172223,SPEECH293575,SPEECH748370,SPEECH637039,SPEECH84059,SPEECH801226,SPEECH520118,SPEECH685762,SPEECH747208,SPEECH575369,SPEECH748417,SPEECH280009,SPEECH171716,SPEECH171744,SPEECH206885
2023-11-01T07:36:43Z,2023-11-01T07:37:01Z,Survey Preview,100,18,TRUE,2023-11-01T07:37:03Z,R_2fsU1bZ48txQNNf,NA,preview,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,very neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,about as neutral as emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-02T08:04:33Z,2023-11-02T08:14:26Z,IP Address,100,593,TRUE,2023-11-02T08:14:27Z,R_3R7r9k0anq3OL3t,NA,anonymous,EN,NA,somehwat emotive,about as neutral as emotive,NA,NA,somehwat neutral,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,somehwat neutral,NA,about as neutral as emotive,about as neutral as emotive,NA,NA,NA,NA,NA,somehwat emotive,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat neutral,NA,NA,NA,NA,NA,very neutral,NA,NA,NA,NA,very neutral,NA,somehwat neutral,about as neutral as emotive,NA,NA,NA,somehwat neutral,NA,NA,NA,very emotive,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,very emotive,NA,NA,NA,somehwat emotive,NA,NA,NA,somehwat neutral,NA,very emotive,NA,NA,NA,very emotive,about as neutral as emotive,NA,NA,NA,very neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,very neutral,NA,NA,NA,NA,somehwat neutral,NA,NA,somehwat emotive,NA,very neutral,somehwat neutral,NA,NA,NA,NA,NA,NA,somehwat emotive
2023-11-02T09:08:27Z,2023-11-02T09:54:14Z,IP Address,100,2746,TRUE,2023-11-02T09:54:14Z,R_Y4RnBSLIawjCds5,NA,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,very emotive,somehwat emotive,somehwat neutral,NA,NA,about as neutral as emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,very emotive,NA,NA,very neutral,very emotive,NA,very neutral,NA,NA,about as neutral as emotive,somehwat neutral,NA,NA,NA,NA,somehwat neutral,NA,NA,NA,somehwat emotive,NA,very neutral,NA,somehwat neutral,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,about as neutral as emotive,somehwat emotive,NA,NA,about as neutral as emotive,NA,NA,somehwat emotive,NA,NA,NA,somehwat neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,somehwat neutral,NA,NA,NA,about as neutral as emotive,NA,NA,NA,NA,about as neutral as emotive,about as neutral as emotive,NA,NA,NA,NA,NA,NA,somehwat neutral,somehwat neutral,NA,NA,NA,NA,somehwat emotive,NA,NA,somehwat emotive,somehwat emotive,NA,NA
2023-11-03T06:43:27Z,2023-11-03T06:52:15Z,IP Address,100,528,TRUE,2023-11-03T06:52:15Z,R_1kM150p2Aiy4R9z,NA,anonymous,EN,NA,NA,NA,very neutral,somehwat neutral,NA,NA,NA,NA,NA,NA,NA,NA,very neutral,NA,NA,NA,NA,about as neutral as emotive,NA,NA,very neutral,somehwat neutral,NA,NA,very emotive,about as neutral as emotive,NA,NA,about as neutral as emotive,NA,NA,somehwat emotive,NA,very emotive,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,about as neutral as emotive,NA,NA,NA,somehwat neutral,NA,somehwat emotive,NA,very emotive,NA,NA,somehwat neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,about as neutral as emotive,somehwat emotive,NA,NA,somehwat emotive,very emotive,NA,NA,NA,NA,somehwat emotive,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,very neutral,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,very neutral,about as neutral as emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat neutral,NA,NA,NA,NA
2023-11-02T06:15:47Z,2023-11-03T08:45:26Z,IP Address,100,95378,TRUE,2023-11-03T08:45:26Z,R_1g6ogvbOkqv7egQ,NA,anonymous,EN,NA,NA,NA,NA,NA,NA,very emotive,about as neutral as emotive,NA,NA,somehwat emotive,very neutral,NA,NA,somehwat neutral,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,somehwat emotive,NA,NA,NA,very emotive,NA,NA,NA,NA,somehwat emotive,NA,very emotive,NA,NA,about as neutral as emotive,about as neutral as emotive,NA,very emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,about as neutral as emotive,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,somehwat neutral,NA,NA,NA,NA,about as neutral as emotive,NA,about as neutral as emotive,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,very neutral,about as neutral as emotive,somehwat emotive,NA,NA,NA,somehwat emotive,somehwat neutral,NA,NA,about as neutral as emotive,about as neutral as emotive,NA,somehwat neutral,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,about as neutral as emotive
2023-11-01T16:31:02Z,2023-11-01T16:31:14Z,IP Address,1,11,FALSE,2023-11-08T15:31:15Z,R_2tGbT7LnQtsa4mV,NA,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-09T04:02:24Z,2023-11-09T04:19:25Z,IP Address,100,1021,TRUE,2023-11-09T04:19:26Z,R_PY7rMNgoLZLvPj3,NA,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,somehwat emotive,very emotive,NA,NA,NA,NA,NA,NA,very emotive,NA,NA,somehwat emotive,about as neutral as emotive,NA,somehwat neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,very emotive,NA,NA,about as neutral as emotive,NA,very emotive,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,very emotive,NA,NA,very emotive,somehwat emotive,NA,NA,about as neutral as emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,about as neutral as emotive,NA,NA,NA,NA,NA,NA,somehwat emotive,somehwat emotive,NA,NA,NA,NA,NA,very emotive,NA,somehwat neutral,somehwat neutral,NA,NA,NA,somehwat emotive,about as neutral as emotive,NA,about as neutral as emotive,NA,NA,NA,NA,somehwat neutral,NA,NA,NA,very emotive,NA,NA,NA,somehwat emotive,NA
2023-11-02T06:15:45Z,2023-11-09T05:03:49Z,IP Address,100,604083,TRUE,2023-11-09T05:03:49Z,R_1n89vvjE9Q1lzhz,NA,anonymous,EN,somehwat emotive,NA,somehwat emotive,very neutral,NA,very emotive,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,somehwat emotive,about as neutral as emotive,NA,NA,NA,somehwat neutral,NA,NA,NA,NA,NA,NA,about as neutral as emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,about as neutral as emotive,somehwat emotive,NA,somehwat emotive,very neutral,NA,about as neutral as emotive,NA,NA,NA,NA,NA,about as neutral as emotive,about as neutral as emotive,NA,NA,very emotive,very emotive,NA,NA,very emotive,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,about as neutral as emotive,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,very emotive,NA,NA,NA,about as neutral as emotive,NA,NA,very emotive,NA,somehwat neutral,NA,NA,NA,NA,very neutral,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,NA
2023-11-02T06:15:55Z,2023-11-03T03:01:50Z,IP Address,1,74754,FALSE,2023-11-10T02:01:51Z,R_2ci2Ilfnf0RPUdg,NA,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-11-12T11:13:54Z,2023-11-12T11:33:34Z,IP Address,100,1179,TRUE,2023-11-12T11:33:34Z,R_1lzPkXL0vfD3EOi,NA,anonymous,EN,NA,NA,NA,very neutral,NA,NA,NA,about as neutral as emotive,about as neutral as emotive,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,very emotive,about as neutral as emotive,NA,somehwat emotive,NA,NA,NA,NA,very neutral,NA,somehwat emotive,NA,NA,about as neutral as emotive,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,somehwat neutral,NA,NA,NA,NA,NA,about as neutral as emotive,NA,somehwat neutral,NA,very emotive,NA,NA,NA,NA,somehwat emotive,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,very emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,about as neutral as emotive,NA,NA,NA,about as neutral as emotive,NA,very emotive,NA,NA,NA,about as neutral as emotive,NA,somehwat emotive,NA,NA,NA,NA,about as neutral as emotive,very emotive,NA,NA,somehwat emotive,somehwat emotive,somehwat emotive,NA,NA
2023-11-13T12:24:07Z,2023-11-13T13:12:11Z,IP Address,100,2884,TRUE,2023-11-13T13:12:12Z,R_vTRdX62jsvzxKRH,NA,anonymous,EN,NA,NA,somehwat neutral,very neutral,NA,somehwat emotive,NA,NA,about as neutral as emotive,NA,somehwat emotive,NA,somehwat neutral,NA,NA,NA,NA,NA,somehwat emotive,NA,about as neutral as emotive,NA,NA,NA,NA,NA,NA,very emotive,NA,NA,very neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,very emotive,NA,NA,about as neutral as emotive,NA,very neutral,somehwat neutral,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,about as neutral as emotive,somehwat emotive,NA,NA,NA,NA,very emotive,NA,NA,NA,NA,about as neutral as emotive,NA,NA,NA,NA,NA,NA,NA,about as neutral as emotive,somehwat neutral,NA,NA,somehwat neutral,NA,about as neutral as emotive,NA,NA,NA,somehwat emotive,NA,about as neutral as emotive,NA,about as neutral as emotive,somehwat neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,about as neutral as emotive,NA,NA,NA,NA,somehwat emotive,NA,NA,NA
2023-11-14T14:46:26Z,2023-11-14T15:05:32Z,IP Address,100,1145,TRUE,2023-11-14T15:05:33Z,R_2RQcAHCOWDALeZA,NA,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somehwat neutral,NA,NA,NA,NA,very emotive,somehwat emotive,NA,NA,somehwat emotive,NA,somehwat emotive,NA,NA,NA,NA,NA,NA,somehwat emotive,NA,NA,NA,NA,NA,somehwat neutral,NA,somehwat emotive,NA,very neutral,NA,NA,NA,NA,about as neutral as emotive,somehwat neutral,NA,very emotive,NA,somehwat emotive,NA,NA,NA,somehwat emotive,very emotive,about as neutral as emotive,about as neutral as emotive,NA,about as neutral as emotive,NA,about as neutral as emotive,NA,NA,NA,NA,somehwat emotive,NA,very emotive,about as neutral as emotive,NA,NA,NA,NA,NA,NA,about as neutral as emotive,NA,NA,NA,somehwat neutral,NA,very emotive,NA,NA,NA,NA,somehwat emotive,about as neutral as emotive,NA,NA,NA,NA,very neutral,NA,about as neutral as emotive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
